waktu_diambil,tahun,bulan,nama_provinsi,nama_kota,sandi,nama,asset,asd,kyd,Kredit yang Diberikan Tahun Sebelumnya,total_hutang,Total Hutang Tahun Sebelumnya,Laba (Rugi) Tahun-tahun Lalu Saat Ini,Laba (Rugi) Tahun-tahun Lalu Tahun Sebelumnya,laba_saat_ini,laba_tahun_lalu,npl_net,kpmm,kap,ppap,roa,cr,ldr,bopo,direksi,dewan_komisaris
5/21/2025 21:09,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602581-PD. BPR Bestari,602581-PD. BPR Bestari,86167401,79098657,66816079,62646198,60694585,54268039,1037476,1154372,607452,521616,5.58,47.65,6.58,95.56,0.73,6.98,83.62,77.52,,
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602607-PT Bank Perekonomian Rakyat Central Sejahtera,602607-PT Bank Perekonomian Rakyat Central Sejahtera,114342516,126920033,62396142,57919549,97363744,110823588,8774457,7700000,404315,596445,2.97,37.58,1.72,100,1.06,6.29,57.21,91.42,"AI LING, DESI","KIM HAN, SUKARNI, SUKARNI, MERI"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602599-PT Bank Perekonomian Rakyat Kepri Bintan,602599-PT Bank Perekonomian Rakyat Kepri Bintan,91169993,93500648,64434822,68388257,74484745,78610642,0,1672911,861649,428794,4.92,45.51,3.29,100,3.11,13.39,74.19,79.39,"RIAU RISMANTORO, MICHAEL","ISKANDAR ITAN, MARKUS, PT GRAHA CIPTA DANA, SOEHARTINAH WIDJAJA SH, RUDI"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602733-PT Bank Perekonomian Rakyat Dana Prima Mandiri,602733-PT Bank Perekonomian Rakyat Dana Prima Mandiri,46527505,47658101,34525578,34768709,39638998,41436586,"-296,874","-773,790",185381,"-4,695",8.9,37.69,6.98,100,1.44,8.26,76.01,90.1,"FRANSISKA INDRAWATI, HEMRY FERNANDO SINAGA","SUSUN ABDUL MADJID, JULIANTO, FERDY YOHANES, PAULUS LIAUW, ROBERT MULIAWAN"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602075-PT Bank Perekonomian Rakyat Dana Bintan Sejahtera,602075-PT Bank Perekonomian Rakyat Dana Bintan Sejahtera,65637978,65321065,45796022,48412739,57696414,57669291,"-1,158,674","-1,297,203",100238,"-51,023",6.86,21.55,5.01,100,0.45,10.6,72.29,100.48,"HENTON, YAFRI, DERMANTO","LANI PUSPARINI JOESOEP, TJAN KIM LIAN"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602685-PT Bank Perekonomian Rakyat Asia Sejahtera,602685-PT Bank Perekonomian Rakyat Asia Sejahtera,99105194,104621194,64259358,60533501,86416287,92740528,5341152,4678521,347755,202145,4.51,26.61,3.3,100,1.14,7.01,72.41,91.82,"KUMALA DEWI, KELLY","KIM HAN, MERI, SUKARNI, MERI"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602746-PT Bank Perekonomian Rakyat Asli Dana Mandiri,602746-PT Bank Perekonomian Rakyat Asli Dana Mandiri,65270547,53126140,50487988,41507696,57778146,47039864,"-2,852,770","-2,702,029",345171,"-211,695",6.17,22.67,4.17,100,2.37,16.26,76.82,97.51,"ANDREAS FERNANDO, VERI HERMANTO","HENDRA TRIANTANTO, JOLKY, Jolly, Jolphy, Jolky"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Tanjung Pinang,602748-PT Bank Perekonomian Rakyat Dana Mulia Sejahtera,602748-PT Bank Perekonomian Rakyat Dana Mulia Sejahtera,144519514,94284657,89057958,76258909,135346759,87195102,600978,"-1,537,260",571777,626815,4.82,20.56,2.53,100,1.63,14.08,64.64,88.17,"KANTO, WEI KIONG","MULIA PAMADI, TONNY DAVID, MULIA PAMADI"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Batam,600908-PT Bank Perekonomian Rakyat Sejahtera Batam,600908-PT Bank Perekonomian Rakyat Sejahtera Batam,713463985,754904523,454425053,556703006,622611916,668816800,74420588,68374138,3812541,5094645,5.57,36.42,5.43,100,0.66,9.17,65.64,79.03,"SUMANTRI, SYLVIA DAMAYANTI, LIE LIE","LIE KUNG AL ELINA, SUCIPTO, ERNI, LIE KUNG AL ELINA, SUCIPTO, SUMANTRI"
5/21/2025 21:10,2021,Maret,Provinsi Kep. Riau,Kota Batam,600883-PT Bank Perekonomian Rakyat Kencana Graha,600883-PT Bank Perekonomian Rakyat Kencana Graha,99410737,112425920,73362637,78104951,85423111,98522282,3236855,3831136,250771,"-427,498",14.25,33.2,12.69,100,0.48,10.68,76.76,95.04,"AGUSTINA, SUSANTO GIMAN","SILVIA IRANI, TIMMOTY GEORGE GOTAMA"
